species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction,transition_entropy_bits,transition_entropy_weighting,mean_transition_entropy_bits,entropy_delta_from_full_n_bits,entropy_delta_from_previous_n_bits,pi_effective_clusters,max_leading_eigen_delta_from_full_n,max_leading_eigen_delta_from_previous_n,lambda_2_abs,lambda_2_real,lambda_2_imag,lambda_3_abs,lambda_3_real,lambda_3_imag,lambda_4_abs,lambda_4_real,lambda_4_imag,lambda_5_abs,lambda_5_real,lambda_5_imag,lambda_6_abs,lambda_6_real,lambda_6_imag
Mus_musculus,occupancy_descending,950,950,2.0,3,ok,950,50,0.9994522925314825,7.766027598856937,empirical_macro_occupancy,7.8370214891657834,0.000643621840094255,0.0003853804193978405,627.9336896988004,0.0031242185677694545,0.0022911859408543123,0.8767421791273422,0.8767421791273422,0.0,0.7534726069728873,0.7534726069728873,0.0,0.737942860344199,0.737942860344199,0.0,0.7131106957078711,0.7131106957078711,0.0,0.5864502116324427,0.5864502116324427,0.0
Mus_musculus,occupancy_descending,925,925,2.0,3,ok,925,75,0.998366509819984,7.765562514166221,empirical_macro_occupancy,7.851252708984844,0.00017853714937832166,-0.0004650846907159334,627.6621674095023,0.011748542235437642,0.008624323667668188,0.8767110647949302,0.8767110647949302,0.0,0.7533787792625413,0.7533787792625413,0.0,0.7293185366765308,0.7293185366765308,0.0,0.7123607719225862,0.7123607719225862,0.0,0.5863890971163155,0.5863890971163155,0.0
Mus_musculus,occupancy_descending,900,900,2.0,3,ok,900,100,0.9963206647644304,7.763201513918762,empirical_macro_occupancy,7.86028285240533,-0.002182463098080234,-0.0023610002474585556,626.952439470551,0.024182905974664437,0.012736088958861802,0.8766001728719123,0.8766001728719123,0.0,0.7532104798178382,0.7532104798178382,0.0,0.716884172937304,0.716884172937304,0.0,0.6996246829637244,0.6996246829637244,0.0,0.5860693452955941,0.5860693452955941,0.0
Mus_musculus,occupancy_descending,875,875,2.0,3,ok,875,125,0.9932839832205231,7.7588656908124145,empirical_macro_occupancy,7.860944983491777,-0.006518286204427959,-0.004335823106347725,625.5609845301283,0.024937444248487095,0.0038585244667552754,0.8764697617070608,0.8764697617070608,0.0,0.7531518007141661,0.7531518007141661,0.0,0.7161296346634813,0.7161296346634813,0.0,0.6957661584969691,0.6957661584969691,0.0,0.585986141300043,0.585986141300043,0.0
Mus_musculus,occupancy_descending,850,850,2.0,3,ok,850,150,0.9892091553347498,7.753291301238409,empirical_macro_occupancy,7.859899588155848,-0.012092675778433204,-0.005574389574005245,623.6068860050401,0.02530663775702735,0.00036919350854025534,0.8763598889402052,0.8763598889402052,0.0,0.7529803973681519,0.7529803973681519,0.0,0.7157604411549411,0.7157604411549411,0.0,0.6955879420918821,0.6955879420918821,0.0,0.5856936580784645,0.5856936580784645,0.0
Mus_musculus,occupancy_descending,825,825,2.0,3,ok,825,175,0.9839126207412882,7.744566096168239,empirical_macro_occupancy,7.849496409060093,-0.020817880848603032,-0.008725205070169828,620.5237347985302,0.04991877274345158,0.032197142038355775,0.875963394396953,0.875963394396953,0.0,0.7527438861160327,0.7527438861160327,0.0,0.7137801481353852,0.7137801481353852,0.0,0.6633908000535264,0.6633908000535264,0.0,0.5849737280882416,0.5849737280882416,0.0
Mus_musculus,occupancy_descending,800,800,2.0,3,ok,800,200,0.9770422084822684,7.73366546666197,empirical_macro_occupancy,7.835823819304367,-0.03171851035487272,-0.010900629506269688,616.2696703844197,0.054639174558735126,0.004720401815283548,0.8758587300446784,0.8758587300446784,0.0,0.752623765187463,0.752623765187463,0.0,0.7131391954589412,0.7131391954589412,0.0,0.6586703982382428,0.6586703982382428,0.0,0.5848400915621605,0.5848400915621605,0.0
Mus_musculus,occupancy_descending,775,775,2.0,3,ok,775,225,0.9690083609816689,7.719888289935153,empirical_macro_occupancy,7.829253371152595,-0.04549568708168916,-0.013777176726816442,610.2794429828638,0.054848393495011694,0.000490801194416246,0.8756284852998292,0.8756284852998292,0.0,0.7521809904607851,0.7521809904607851,0.0,0.712648394264525,0.712648394264525,0.0,0.6584611793019662,0.6584611793019662,0.0,0.5838267298578472,0.5838267298578472,0.0
Mus_musculus,occupancy_descending,750,750,2.0,3,ok,750,250,0.9595288400377238,7.704344536056858,empirical_macro_occupancy,7.814321603875234,-0.06103944095998415,-0.015543753878294986,603.7153360151331,0.05491757660404806,0.012666673268278084,0.8747545724926615,0.8747545724926615,0.0,0.739514317192507,0.739514317192507,0.0,0.7103775392134483,0.7103775392134483,0.0,0.6583919961929299,0.6583919961929299,0.0,0.5616332288828781,0.5616332288828781,0.0
Mus_musculus,occupancy_descending,725,725,2.0,3,ok,725,275,0.9485326750395195,7.686261036908261,empirical_macro_occupancy,7.793026329413702,-0.07912294010858112,-0.01808349914859697,594.7179191890814,0.05523994482150918,0.0010186526056612522,0.8741288266254122,0.8741288266254122,0.0,0.7390911504621211,0.7390911504621211,0.0,0.709358886607787,0.709358886607787,0.0,0.6580696279754688,0.6580696279754688,0.0,0.5602470220382487,0.5602470220382487,0.0
Mus_musculus,occupancy_descending,700,700,2.0,3,ok,700,300,0.9364085134600323,7.665044946380645,empirical_macro_occupancy,7.7804597483339055,-0.10033903063619753,-0.021216090527616416,584.6676766347631,0.05570418889319928,0.006140997427264816,0.873301186260422,0.873301186260422,0.0,0.7329501530348563,0.7329501530348563,0.0,0.7071332920438507,0.7071332920438507,0.0,0.6576053839037787,0.6576053839037787,0.0,0.5564807894934626,0.5564807894934626,0.0
