species,aligned_arm,moseq_cluster,soft_frames
Mus_musculus,1,10,205699.9668134829
Mus_musculus,1,11,584448.0278145343
Mus_musculus,1,12,147492.1135565204
Mus_musculus,1,13,881824.3324859899
Mus_musculus,1,14,1190112.748124915
Mus_musculus,1,15,172609.84429616443
Mus_musculus,1,16,33899.46740460865
Mus_musculus,1,17,43118.153313342285
Mus_musculus,1,18,278886.91518910986
Mus_musculus,1,19,518403.2981251195
Mus_musculus,1,20,71665.406192139
Mus_musculus,1,21,235675.93267757873
Mus_musculus,1,22,279185.5647153142
Mus_musculus,1,23,717959.1561743976
Mus_musculus,1,24,69638.05844213633
Mus_musculus,1,25,111800.07057242541
Mus_musculus,1,26,356244.99571322976
Mus_musculus,1,27,88843.72117362574
Mus_musculus,1,28,880205.8165136058
Mus_musculus,1,29,126485.0661051125
Mus_musculus,1,30,99340.32177365647
Mus_musculus,1,31,341776.4870815195
Mus_musculus,1,32,898856.1453614241
Mus_musculus,1,33,32144.21838477543
Mus_musculus,1,34,517889.3033815409
Mus_musculus,1,35,212417.2848621186
Mus_musculus,1,36,218436.1394162156
Mus_musculus,1,37,214329.18053761398
Mus_musculus,1,38,3430.820575356224
Mus_musculus,1,39,282192.33931786276
Mus_musculus,1,40,157161.81395147173
Mus_musculus,1,41,68518.58576735832
Mus_musculus,1,42,202082.63020480098
Mus_musculus,1,43,327415.77094901504
Mus_musculus,1,44,181360.18103886803
Mus_musculus,1,45,7775.890042651461
Mus_musculus,1,46,109047.82484972636
Mus_musculus,1,47,128229.01900530899
Mus_musculus,1,48,140543.91672404608
Mus_musculus,1,49,18261.678820751527
Mus_musculus,1,50,4.671200510878639
Mus_musculus,1,51,8.360293317259933
Mus_musculus,1,56,13.288863174252084
Mus_musculus,1,61,56.38919617095559
Mus_musculus,1,64,18.50021402264134
Mus_musculus,1,66,29.57574316553684
Mus_musculus,1,67,16.003101393031987
Mus_musculus,1,68,12.761545652771249
Mus_musculus,1,72,33.98896211714382
Mus_musculus,1,73,9.940551296894482
Mus_musculus,1,78,23.37196137014944
Mus_musculus,1,85,6.471909813123924
Mus_musculus,1,86,58.32716201993129
Mus_musculus,2,0,105662.26683294289
Mus_musculus,2,1,125672.94874978495
Mus_musculus,2,2,79906.926324254
Mus_musculus,2,3,100026.47522472065
Mus_musculus,2,4,83291.09996278297
Mus_musculus,2,5,51531.86572310377
Mus_musculus,2,6,66812.60501970451
Mus_musculus,2,7,42441.39897662774
Mus_musculus,2,8,25534.969306120027
Mus_musculus,2,9,89699.96116997817
Mus_musculus,2,10,30838.82881594639
Mus_musculus,2,11,88642.98520242392
Mus_musculus,2,12,21085.529632577047
Mus_musculus,2,13,137036.75039420088
Mus_musculus,2,14,239014.27102651238
Mus_musculus,2,15,26061.675750654504
Mus_musculus,2,16,4883.836987950627
Mus_musculus,2,17,6370.12049656856
Mus_musculus,2,18,46787.8972617878
Mus_musculus,2,19,82123.04258612041
Mus_musculus,2,20,9966.978412375212
