global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,38,-0.00020453026809263974,0.0026033702306449413,6.777536327717826e-06,-0.006533249579370022,0.00634032104164362
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,39,5.103664443595335e-05,0.002500807633623481,6.2540384533349425e-06,-0.006024015117436648,0.005845780652016407
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,40,-0.0004209746257402003,0.002166283316910267,4.692783477366902e-06,-0.00542975626885891,0.004806024320423604
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,41,-0.00012289317965041846,0.00240998319350183,5.808018613606691e-06,-0.005937050357460976,0.0055001905933022505
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,42,-0.00018721264495979995,0.0022997998166829348,5.289079581416445e-06,-0.005620801132172346,0.005306914187967778
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,43,-3.3125787012977526e-05,0.0024104544427245855,5.810290076624369e-06,-0.0059811404161155225,0.006481623314321043
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,44,-0.00015332491602748632,0.0022105921525508165,4.886717306362698e-06,-0.005667684413492679,0.00513560235500336
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,45,-6.237395427888259e-05,0.002080336445942521,4.32780007031397e-06,-0.005039706435054541,0.0047954440303146885
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,46,0.00011530972551554441,0.002181046409532428,4.756963335239561e-06,-0.004957054667174816,0.005470138359814884
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,47,-1.135238926508464e-05,0.0018940423615276814,3.5873963497579098e-06,-0.0044446708448231224,0.0046435591764748185
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,48,4.1745344788068905e-05,0.002001183107495308,4.004733455076348e-06,-0.0048483251407742504,0.004757444690912968
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,49,9.513951954431832e-05,0.0020499613601714373,4.202341187919956e-06,-0.004921385850757361,0.004824760369956502
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,50,-9.371326086693443e-06,0.001930158119648695,3.725510396179743e-06,-0.004542204216122627,0.004465323109179738
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,51,0.00020219622820150107,0.0020013744942843914,4.005499704362592e-06,-0.004491736851632595,0.005086899921298032
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,52,-0.00014096924860496074,0.001809638924896717,3.2747932436905103e-06,-0.00449737960472703,0.004138538911938668
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,53,0.000190792721696198,0.0019018809543922544,3.6171511510474375e-06,-0.004388302136212587,0.004787282422184947
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,54,-4.378829544293694e-05,0.002022199798375368,4.089292360731633e-06,-0.005407656002789736,0.005433455444872384
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,55,-9.874107490759343e-05,0.0017511568730697036,3.0665505619253963e-06,-0.00437061432749033,0.004040792565792799
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,56,-0.00011835492477985099,0.0019209726015105844,3.6901358271279605e-06,-0.004833138212561607,0.004550496377050878
